,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,Genes
ITPKC,6.44E-63,-0.403469648,0.497,0.584,1.14E-58,ITPKC
FHL2,6.48E-63,0.271961835,0.721,0.681,1.15E-58,FHL2
ERO1A,6.50E-63,-0.226017176,0.796,0.835,1.15E-58,ERO1A
MTG1,6.78E-63,-0.316681384,0.403,0.503,1.20E-58,MTG1
GAS6,7.35E-63,0.220664983,0.682,0.616,1.31E-58,GAS6
DGKA,8.06E-63,-0.361043046,0.349,0.445,1.43E-58,DGKA
MED13L,8.29E-63,-0.321636723,0.48,0.586,1.47E-58,MED13L
SH2D4A,8.71E-63,-0.424415423,0.301,0.392,1.55E-58,SH2D4A
OLFML2B,9.45E-63,-0.326669012,0.313,0.411,1.68E-58,OLFML2B
WDR26,9.51E-63,-0.271778584,0.566,0.653,1.69E-58,WDR26
CCL13,1.00E-62,-1.072093764,0.05,0.104,1.78E-58,CCL13
AKAP6,1.10E-62,1.591354281,0.103,0.059,1.95E-58,AKAP6
DUSP4,1.12E-62,0.391212573,0.597,0.547,2.00E-58,DUSP4
CPSF1,1.24E-62,0.487777274,0.541,0.492,2.19E-58,CPSF1
HVCN1,1.42E-62,-0.845294071,0.059,0.116,2.52E-58,HVCN1
SHFL,1.56E-62,-0.328774823,0.366,0.464,2.77E-58,SHFL
CHST9,1.65E-62,1.285694263,0.036,0.012,2.92E-58,CHST9
ODF3B,1.97E-62,-0.418960472,0.407,0.501,3.50E-58,ODF3B
TRAPPC1,2.03E-62,-0.313178614,0.451,0.547,3.61E-58,TRAPPC1
PSMA2,2.17E-62,-0.243345774,0.626,0.701,3.85E-58,PSMA2
USF1,2.17E-62,-0.394387546,0.323,0.417,3.86E-58,USF1
SPTBN5,2.22E-62,-1.416612679,0.026,0.071,3.94E-58,SPTBN5
PLIN2,2.35E-62,0.758186427,0.476,0.425,4.17E-58,PLIN2
BMPR1B,2.89E-62,1.257752655,0.059,0.026,5.13E-58,BMPR1B
PRPSAP1,2.94E-62,-0.408265293,0.381,0.479,5.22E-58,PRPSAP1
NABP1,3.13E-62,-0.368351779,0.372,0.468,5.56E-58,NABP1
CALML5,3.66E-62,-3.513499667,0.003,0.032,6.50E-58,CALML5
GTPBP2,3.79E-62,-0.405461441,0.377,0.47,6.74E-58,GTPBP2
RASA1,3.81E-62,-0.393499946,0.428,0.519,6.76E-58,RASA1
TNFRSF9,4.18E-62,-1.664368087,0.021,0.063,7.42E-58,TNFRSF9
ADTRP,4.71E-62,-0.90244902,0.047,0.1,8.37E-58,ADTRP
NUPR1,5.21E-62,0.406513831,0.746,0.721,9.26E-58,NUPR1
AGAP4,6.15E-62,1.244194339,0.072,0.035,1.09E-57,AGAP4
R3HDM4,6.47E-62,-0.277200878,0.524,0.617,1.15E-57,R3HDM4
DKK3,6.78E-62,0.359848519,0.581,0.535,1.20E-57,DKK3
MBOAT4,8.92E-62,1.980351415,0.023,0.006,1.58E-57,MBOAT4
MOAP1,1.19E-61,0.774277954,0.237,0.173,2.11E-57,MOAP1
CTSF,1.20E-61,0.73551561,0.216,0.153,2.14E-57,CTSF
SEMA3E,1.21E-61,1.294599739,0.1,0.056,2.16E-57,SEMA3E
HES4,1.47E-61,-0.445113764,0.459,0.555,2.60E-57,HES4
RAI1,1.90E-61,0.577613697,0.358,0.293,3.37E-57,RAI1
HOXB3,1.94E-61,-0.391422398,0.313,0.408,3.45E-57,HOXB3
RASAL1,2.20E-61,-0.533884428,0.257,0.339,3.91E-57,RASAL1
MGP,2.24E-61,0.758278433,0.289,0.223,3.99E-57,MGP
CCT2,2.70E-61,-0.303216,0.548,0.636,4.80E-57,CCT2
TPD52,2.97E-61,-0.290190158,0.591,0.673,5.28E-57,TPD52
SLC25A1,3.26E-61,0.657539277,0.398,0.34,5.80E-57,SLC25A1
MTHFS,3.58E-61,-0.365095107,0.322,0.417,6.37E-57,MTHFS
SCTR,3.72E-61,0.626108953,0.213,0.148,6.61E-57,SCTR
C2orf74,4.38E-61,-0.336135406,0.196,0.284,7.78E-57,C2orf74
CXCL12,4.47E-61,0.539664607,0.354,0.283,7.95E-57,CXCL12
PACSIN3,4.53E-61,-0.532105241,0.211,0.289,8.05E-57,PACSIN3
PITPNM1,4.60E-61,0.539628979,0.502,0.455,8.18E-57,PITPNM1
KLF9,4.67E-61,0.376907762,0.56,0.514,8.30E-57,KLF9
BATF2,4.83E-61,-1.084306889,0.063,0.119,8.58E-57,BATF2
AQP7,4.83E-61,1.292623535,0.052,0.022,8.58E-57,AQP7
PUF60,6.68E-61,0.483793616,0.591,0.561,1.19E-56,PUF60
SYNGR2,8.53E-61,-0.244055711,0.78,0.825,1.52E-56,SYNGR2
RNF24,8.85E-61,0.698243915,0.271,0.204,1.57E-56,RNF24
FGF2,1.10E-60,0.740974807,0.149,0.094,1.95E-56,FGF2
DIRAS2,1.50E-60,1.890719938,0.03,0.009,2.66E-56,DIRAS2
TAPBP,1.96E-60,-0.285184202,0.766,0.822,3.48E-56,TAPBP
TM4SF5,2.20E-60,-0.801169379,0.135,0.204,3.90E-56,TM4SF5
PAK1,2.27E-60,0.721878621,0.281,0.216,4.03E-56,PAK1
JMJD6,2.39E-60,-0.331883565,0.275,0.367,4.24E-56,JMJD6
TCEAL2,2.43E-60,1.451465052,0.033,0.011,4.32E-56,TCEAL2
ARHGAP40,2.49E-60,-0.625943646,0.053,0.108,4.42E-56,ARHGAP40
REG1A,2.82E-60,-1.064671111,0.428,0.298,5.01E-56,REG1A
PSMD2,2.83E-60,-0.269720505,0.585,0.674,5.02E-56,PSMD2
PARP15,2.90E-60,-1.138896851,0.061,0.116,5.15E-56,PARP15
TMED9,3.11E-60,-0.202649588,0.73,0.791,5.53E-56,TMED9
RNF145,3.11E-60,-0.449327873,0.651,0.708,5.53E-56,RNF145
PROCR,3.40E-60,-0.474896741,0.216,0.297,6.04E-56,PROCR
SRGN,3.65E-60,-0.351555178,0.525,0.616,6.48E-56,SRGN
CLIP1,3.78E-60,-0.317532595,0.44,0.533,6.71E-56,CLIP1
TRIM22,3.96E-60,-0.359739093,0.437,0.534,7.04E-56,TRIM22
IRAK3,5.61E-60,-0.436711208,0.225,0.308,9.97E-56,IRAK3
FREM1,5.89E-60,1.544412203,0.039,0.014,1.05E-55,FREM1
IRF3,6.12E-60,0.411576575,0.593,0.547,1.09E-55,IRF3
SPI1,6.18E-60,-0.408268022,0.359,0.448,1.10E-55,SPI1
CDT1,6.40E-60,-0.571539529,0.134,0.208,1.14E-55,CDT1
CDC6,7.17E-60,-0.573119913,0.108,0.177,1.27E-55,CDC6
UBE2C,7.86E-60,-0.421496844,0.369,0.46,1.40E-55,UBE2C
SETBP1,8.25E-60,0.774322903,0.17,0.112,1.47E-55,SETBP1
PDCD1LG2,8.85E-60,-1.158372319,0.035,0.083,1.57E-55,PDCD1LG2
FGB,8.89E-60,2.339484937,0.028,0.008,1.58E-55,FGB
ATP6V1A,9.28E-60,-0.384099452,0.447,0.542,1.65E-55,ATP6V1A
RPN1,9.66E-60,-0.227201217,0.706,0.759,1.72E-55,RPN1
PHYH,1.14E-59,0.671497654,0.312,0.249,2.02E-55,PHYH
FAM174C,1.24E-59,-0.271435713,0.396,0.492,2.20E-55,FAM174C
SYCE1,1.27E-59,1.87176732,0.03,0.009,2.25E-55,SYCE1
ITGB1BP1,1.35E-59,0.553557385,0.461,0.407,2.41E-55,ITGB1BP1
AEBP1,1.37E-59,-0.233873554,0.817,0.864,2.43E-55,AEBP1
NXN,1.47E-59,-0.31503853,0.285,0.377,2.62E-55,NXN
UNC93B1,1.47E-59,0.380939798,0.694,0.668,2.62E-55,UNC93B1
PRF1,1.65E-59,-1.162873089,0.041,0.09,2.94E-55,PRF1
CDK16,1.79E-59,0.524772451,0.459,0.412,3.17E-55,CDK16
PDGFB,1.87E-59,-0.466083367,0.234,0.321,3.32E-55,PDGFB
EDA2R,1.90E-59,1.207465349,0.06,0.028,3.38E-55,EDA2R
SPON1,1.98E-59,0.597253875,0.337,0.27,3.51E-55,SPON1
HOXB6,2.00E-59,-0.399211187,0.218,0.305,3.55E-55,HOXB6
GOLGA3,2.23E-59,-0.245723841,0.538,0.636,3.97E-55,GOLGA3
PTPN13,2.47E-59,0.659372258,0.163,0.105,4.39E-55,PTPN13
B4GALT1,2.57E-59,0.416271508,0.642,0.601,4.56E-55,B4GALT1
SFRP5,2.80E-59,0.634332498,0.1,0.055,4.97E-55,SFRP5
FAM120AOS,3.69E-59,0.438965276,0.502,0.449,6.56E-55,FAM120AOS
WDR6,3.72E-59,0.346057948,0.613,0.578,6.61E-55,WDR6
CLRN3,3.93E-59,-1.295803055,0.052,0.103,6.98E-55,CLRN3
CCDC59,3.97E-59,-0.432971917,0.194,0.275,7.05E-55,CCDC59
VGF,4.69E-59,1.394162099,0.049,0.021,8.34E-55,VGF
NFIA,5.33E-59,0.588035302,0.307,0.241,9.47E-55,NFIA
PLXDC2,5.36E-59,0.426300591,0.49,0.437,9.52E-55,PLXDC2
SRSF6,6.07E-59,-0.387501879,0.266,0.358,1.08E-54,SRSF6
VSIG1,6.61E-59,0.371067875,0.333,0.25,1.17E-54,VSIG1
SPATA21,6.88E-59,-2.810604097,0.003,0.031,1.22E-54,SPATA21
TTYH2,7.36E-59,-1.13422981,0.078,0.135,1.31E-54,TTYH2
PDRG1,7.45E-59,-0.43100787,0.233,0.319,1.32E-54,PDRG1
EXPH5,7.90E-59,1.050292465,0.162,0.109,1.40E-54,EXPH5
TUBA1B,8.24E-59,0.770087872,0.29,0.228,1.46E-54,TUBA1B
OSER1,9.55E-59,-0.341393666,0.431,0.527,1.70E-54,OSER1
ALDOB,9.77E-59,-0.876145797,0.162,0.231,1.74E-54,ALDOB
SART3,1.02E-58,-0.344714899,0.348,0.443,1.82E-54,SART3
EXOC3,1.04E-58,0.435964275,0.522,0.474,1.85E-54,EXOC3
FRMD4B,1.12E-58,0.556881688,0.387,0.326,1.99E-54,FRMD4B
LSM8,1.13E-58,-0.259257785,0.454,0.552,2.02E-54,LSM8
SYNPO,1.23E-58,0.458078134,0.466,0.403,2.18E-54,SYNPO
SNRNP35,1.25E-58,-0.384110621,0.185,0.267,2.22E-54,SNRNP35
KREMEN2,1.67E-58,-2.969269673,0.003,0.031,2.97E-54,KREMEN2
HLA-C,1.76E-58,-0.465165282,0.494,0.348,3.13E-54,HLA-C
PMAIP1,2.11E-58,-0.498716778,0.224,0.305,3.74E-54,PMAIP1
GINS1,2.66E-58,-0.71806634,0.075,0.134,4.73E-54,GINS1
ACSL1,2.77E-58,0.443720395,0.54,0.49,4.92E-54,ACSL1
NOC4L,2.92E-58,-0.513018924,0.151,0.225,5.18E-54,NOC4L
CARMIL2,3.37E-58,-1.173578466,0.033,0.079,5.99E-54,CARMIL2
CLTA,3.49E-58,-0.290457054,0.576,0.663,6.21E-54,CLTA
COX7A2,3.82E-58,-0.236353726,0.767,0.814,6.78E-54,COX7A2
PTPRN2,3.88E-58,0.61946583,0.303,0.237,6.89E-54,PTPRN2
REEP4,4.11E-58,-0.364279377,0.214,0.298,7.30E-54,REEP4
TCL1A,4.62E-58,-4.025057376,0.002,0.029,8.21E-54,TCL1A
PRRG1,4.79E-58,0.626343263,0.331,0.267,8.51E-54,PRRG1
FCRL1,5.07E-58,-2.901417904,0.006,0.036,9.00E-54,FCRL1
CDK1,5.16E-58,-0.400237333,0.168,0.248,9.16E-54,CDK1
AIF1L,5.23E-58,1.566150168,0.08,0.042,9.29E-54,AIF1L
CHFR,5.41E-58,-0.488665291,0.208,0.289,9.61E-54,CHFR
HIVEP3,5.42E-58,-0.590432743,0.128,0.197,9.62E-54,HIVEP3
VEZT,5.74E-58,-0.316497866,0.46,0.547,1.02E-53,VEZT
CST6,5.75E-58,-0.916103744,0.336,0.386,1.02E-53,CST6
TMEFF2,6.21E-58,2.949244849,0.014,0.002,1.10E-53,TMEFF2
ADSSL1,6.23E-58,1.025311797,0.115,0.069,1.11E-53,ADSSL1
RELB,6.31E-58,-0.65318892,0.243,0.322,1.12E-53,RELB
SOX5,7.24E-58,0.89255077,0.148,0.096,1.29E-53,SOX5
ITGBL1,7.97E-58,0.57569901,0.343,0.28,1.42E-53,ITGBL1
CDKN2D,1.01E-57,0.928940865,0.24,0.183,1.79E-53,CDKN2D
CARD14,1.08E-57,-1.716683463,0.026,0.067,1.91E-53,CARD14
DPF1,1.09E-57,-1.697320029,0.014,0.049,1.93E-53,DPF1
RAD21,1.13E-57,0.655079029,0.436,0.388,2.01E-53,RAD21
EBPL,1.14E-57,-0.366975012,0.401,0.49,2.03E-53,EBPL
RDH11,1.15E-57,0.503052293,0.481,0.433,2.04E-53,RDH11
VRK2,1.17E-57,-0.403367771,0.338,0.425,2.08E-53,VRK2
YWHAH,1.19E-57,-0.250972739,0.658,0.748,2.11E-53,YWHAH
ZNF207,1.36E-57,-0.281535725,0.482,0.579,2.42E-53,ZNF207
CYHR1,1.38E-57,0.560205359,0.422,0.367,2.45E-53,CYHR1
EPHB6,1.38E-57,0.876917882,0.297,0.24,2.45E-53,EPHB6
TMEM8B,1.39E-57,0.825454134,0.226,0.165,2.47E-53,TMEM8B
LST1,1.40E-57,-0.438075534,0.263,0.35,2.48E-53,LST1
AKR1C2,1.66E-57,0.472943005,0.239,0.172,2.94E-53,AKR1C2
SUN2,1.76E-57,0.42630592,0.59,0.555,3.12E-53,SUN2
PAM,1.81E-57,0.33314128,0.643,0.614,3.22E-53,PAM
WDR54,1.86E-57,0.917682681,0.25,0.193,3.30E-53,WDR54
IFIT2,1.86E-57,-0.843733934,0.075,0.133,3.30E-53,IFIT2
KCNB1,2.07E-57,2.707227135,0.019,0.004,3.67E-53,KCNB1
CH25H,2.24E-57,0.960537188,0.099,0.056,3.98E-53,CH25H
ATP6V1B2,2.35E-57,-0.256878263,0.548,0.637,4.18E-53,ATP6V1B2
MME,2.78E-57,-0.914164511,0.068,0.124,4.95E-53,MME
PDZK1,3.03E-57,0.796182922,0.083,0.044,5.37E-53,PDZK1
CBX4,3.34E-57,-0.284591412,0.424,0.523,5.94E-53,CBX4
PCDH9,3.48E-57,1.332142269,0.047,0.02,6.19E-53,PCDH9
CTXND1,3.64E-57,2.581929146,0.013,0.002,6.47E-53,CTXND1
COX19,3.77E-57,-0.32035029,0.269,0.358,6.70E-53,COX19
ANGPTL4,3.82E-57,-0.809269602,0.329,0.404,6.79E-53,ANGPTL4
SCUBE3,3.83E-57,-1.252008497,0.036,0.082,6.80E-53,SCUBE3
PYROXD1,3.91E-57,-0.503900231,0.209,0.289,6.94E-53,PYROXD1
PPFIA2,5.24E-57,1.220246533,0.069,0.034,9.30E-53,PPFIA2
CDR2L,5.61E-57,0.36454731,0.516,0.47,9.97E-53,CDR2L
MFSD10,5.98E-57,0.386182811,0.643,0.629,1.06E-52,MFSD10
MYBL2,6.65E-57,-0.57390571,0.149,0.223,1.18E-52,MYBL2
MAP4,7.52E-57,0.372483452,0.612,0.573,1.34E-52,MAP4
CCDC183,7.91E-57,1.173282825,0.112,0.067,1.40E-52,CCDC183
NECTIN4,8.34E-57,-0.390293647,0.336,0.421,1.48E-52,NECTIN4
PRG2,9.95E-57,1.393208707,0.049,0.021,1.77E-52,PRG2
GMDS,1.13E-56,-0.530502086,0.341,0.417,2.00E-52,GMDS
UBL3,1.18E-56,0.356928185,0.61,0.576,2.10E-52,UBL3
COTL1,1.19E-56,0.235968821,0.834,0.831,2.11E-52,COTL1
IL11RA,1.20E-56,1.071279296,0.148,0.098,2.13E-52,IL11RA
XRRA1,1.22E-56,0.825679472,0.153,0.1,2.17E-52,XRRA1
RFWD3,1.29E-56,-0.611455868,0.123,0.191,2.29E-52,RFWD3
TGIF2,1.32E-56,-0.512921694,0.165,0.24,2.35E-52,TGIF2
CTRB1,1.53E-56,-3.799596909,0.166,0.216,2.72E-52,CTRB1
GOLT1B,1.53E-56,-0.434078535,0.329,0.411,2.72E-52,GOLT1B
PNCK,1.58E-56,2.12739259,0.034,0.012,2.80E-52,PNCK
UBE2A,2.01E-56,-0.270269634,0.534,0.627,3.57E-52,UBE2A
SERPINI2,2.10E-56,-2.380019253,0.017,0.054,3.74E-52,SERPINI2
BMP8A,2.20E-56,-0.629760536,0.13,0.199,3.91E-52,BMP8A
HIST1H2BM,2.30E-56,-0.597615116,0.111,0.177,4.09E-52,HIST1H2BM
SLC25A27,2.40E-56,1.088416916,0.077,0.04,4.27E-52,SLC25A27
DLG1,2.44E-56,0.446219288,0.48,0.426,4.34E-52,DLG1
CTSC,3.86E-56,-0.281574976,0.609,0.7,6.86E-52,CTSC
RABGAP1L,4.11E-56,-0.242564961,0.555,0.644,7.30E-52,RABGAP1L
DIP2C,4.12E-56,0.522998324,0.382,0.32,7.32E-52,DIP2C
ATP11A,4.13E-56,-0.311238388,0.466,0.558,7.34E-52,ATP11A
RAB34,4.54E-56,0.690370876,0.253,0.19,8.06E-52,RAB34
RASEF,4.68E-56,0.420319779,0.421,0.357,8.31E-52,RASEF
ADCY5,4.83E-56,1.014699885,0.092,0.051,8.58E-52,ADCY5
SOD2,4.93E-56,0.374554782,0.799,0.801,8.76E-52,SOD2
POLD2,5.32E-56,-0.358270865,0.527,0.609,9.46E-52,POLD2
TLN1,5.40E-56,0.381000482,0.702,0.671,9.58E-52,TLN1
OGFR,6.08E-56,-0.337200282,0.378,0.472,1.08E-51,OGFR
SLC39A5,6.22E-56,-1.32871059,0.039,0.085,1.11E-51,SLC39A5
PUS1,6.47E-56,-0.579789126,0.127,0.195,1.15E-51,PUS1
KLHL21,6.95E-56,-0.345187167,0.317,0.407,1.23E-51,KLHL21
DRC1,7.01E-56,1.671015802,0.029,0.009,1.24E-51,DRC1
PREP,7.67E-56,-0.357055625,0.325,0.412,1.36E-51,PREP
NABP2,8.41E-56,-0.340266204,0.331,0.421,1.49E-51,NABP2
ARHGAP12,9.63E-56,0.43824171,0.511,0.463,1.71E-51,ARHGAP12
FTCD,9.73E-56,-2.282945212,0.009,0.041,1.73E-51,FTCD
FAT2,1.10E-55,-4.067986016,0.003,0.03,1.95E-51,FAT2
PRKCI,1.13E-55,-0.328337456,0.469,0.553,2.01E-51,PRKCI
PRSS45P,1.14E-55,1.557835813,0.087,0.049,2.02E-51,PRSS45P
SGCE,1.14E-55,0.617053419,0.385,0.324,2.03E-51,SGCE
PLPP4,1.29E-55,-0.727962106,0.114,0.179,2.30E-51,PLPP4
C6orf132,1.51E-55,0.340936125,0.525,0.473,2.69E-51,C6orf132
LMOD1,1.88E-55,1.018809677,0.194,0.138,3.34E-51,LMOD1
TNFRSF25,1.88E-55,-0.547277769,0.12,0.189,3.34E-51,TNFRSF25
PLS1,1.90E-55,0.37450786,0.524,0.471,3.38E-51,PLS1
KPNA4,2.19E-55,-0.343549321,0.572,0.641,3.89E-51,KPNA4
SDE2,2.33E-55,-0.299212888,0.346,0.44,4.14E-51,SDE2
TMEM101,2.66E-55,-0.278611028,0.327,0.419,4.72E-51,TMEM101
NRARP,2.76E-55,-0.648491972,0.278,0.352,4.90E-51,NRARP
RBPJL,3.02E-55,-2.186406724,0.02,0.057,5.37E-51,RBPJL
PKD2,3.26E-55,0.416865621,0.488,0.432,5.79E-51,PKD2
SEC24C,3.87E-55,-0.311229796,0.446,0.541,6.87E-51,SEC24C
DHCR24,3.93E-55,0.385420172,0.543,0.488,6.98E-51,DHCR24
ASRGL1,4.05E-55,0.898381742,0.194,0.138,7.20E-51,ASRGL1
UGGT2,4.11E-55,0.626098734,0.285,0.223,7.31E-51,UGGT2
FGD2,4.33E-55,-0.573233577,0.179,0.253,7.70E-51,FGD2
HSD17B2,4.54E-55,-0.920127174,0.065,0.119,8.06E-51,HSD17B2
GPX4,4.68E-55,0.211413265,0.871,0.862,8.31E-51,GPX4
EIF1B,5.30E-55,0.354739577,0.629,0.597,9.41E-51,EIF1B
CHEK1,5.48E-55,-0.446697811,0.118,0.186,9.74E-51,CHEK1
COMMD6,7.05E-55,0.31474023,0.686,0.646,1.25E-50,COMMD6
GALNT7,7.65E-55,0.623214714,0.266,0.202,1.36E-50,GALNT7
FAM221A,8.55E-55,-0.503783959,0.188,0.264,1.52E-50,FAM221A
TMEM44,8.57E-55,-0.298685171,0.284,0.374,1.52E-50,TMEM44
CENPK,8.93E-55,-0.448489836,0.137,0.209,1.59E-50,CENPK
NOTCH2,1.29E-54,0.475920753,0.458,0.407,2.30E-50,NOTCH2
PITPNB,1.38E-54,-0.242040473,0.579,0.666,2.46E-50,PITPNB
LGALS2,1.42E-54,-1.247809133,0.171,0.233,2.52E-50,LGALS2
PDE1A,1.42E-54,0.807979205,0.133,0.084,2.52E-50,PDE1A
TMPO,2.00E-54,-0.326989227,0.307,0.399,3.55E-50,TMPO
RBM39,2.02E-54,-0.226468709,0.66,0.741,3.58E-50,RBM39
VWA2,2.05E-54,0.690773497,0.266,0.205,3.64E-50,VWA2
BIRC5,2.07E-54,-0.678585072,0.076,0.133,3.67E-50,BIRC5
SCEL,2.25E-54,0.771321597,0.252,0.191,3.99E-50,SCEL
SARS2,2.37E-54,-0.612249475,0.108,0.171,4.20E-50,SARS2
ST3GAL2,2.92E-54,-0.399976957,0.171,0.247,5.19E-50,ST3GAL2
TFDP1,2.98E-54,-0.284737559,0.531,0.612,5.29E-50,TFDP1
RAB15,3.26E-54,0.765781451,0.243,0.184,5.80E-50,RAB15
FOXN1,3.27E-54,-4.384309869,0,0.024,5.82E-50,FOXN1
NKIRAS2,3.70E-54,-0.320570398,0.329,0.42,6.57E-50,NKIRAS2
PREX2,4.04E-54,0.798340384,0.113,0.068,7.18E-50,PREX2
DBP,4.23E-54,0.868176497,0.208,0.152,7.52E-50,DBP
MOGAT1,4.30E-54,0.632349634,0.132,0.082,7.64E-50,MOGAT1
SLIT2,4.58E-54,0.711700472,0.213,0.153,8.13E-50,SLIT2
RB1,4.63E-54,-0.259599798,0.458,0.559,8.22E-50,RB1
F13A1,4.85E-54,0.676914316,0.291,0.229,8.61E-50,F13A1
PDSS1,4.91E-54,-0.782560681,0.073,0.129,8.73E-50,PDSS1
TMEM169,5.33E-54,1.262940274,0.075,0.04,9.48E-50,TMEM169
CENPM,5.47E-54,-0.743109985,0.088,0.147,9.71E-50,CENPM
AAGAB,5.86E-54,-0.461552755,0.188,0.265,1.04E-49,AAGAB
TCF12,6.07E-54,-0.396560289,0.363,0.447,1.08E-49,TCF12
VEPH1,6.44E-54,1.457080612,0.069,0.035,1.14E-49,VEPH1
CCDC148,6.45E-54,1.484984061,0.051,0.023,1.15E-49,CCDC148
LGALS7,6.47E-54,-6.559568547,0,0.024,1.15E-49,LGALS7
GLIPR1,7.09E-54,-0.37938722,0.278,0.365,1.26E-49,GLIPR1
RBM8A,7.49E-54,-0.282952572,0.447,0.541,1.33E-49,RBM8A
EFEMP1,8.71E-54,0.730165912,0.242,0.182,1.55E-49,EFEMP1
SLC25A28,9.30E-54,-0.328387365,0.367,0.455,1.65E-49,SLC25A28
COLCA2,9.56E-54,0.637763443,0.2,0.141,1.70E-49,COLCA2
IQCE,9.70E-54,-0.377544818,0.231,0.315,1.72E-49,IQCE
DLG5,9.91E-54,-0.34954042,0.458,0.536,1.76E-49,DLG5
ARHGAP21,1.02E-53,0.434429565,0.507,0.459,1.80E-49,ARHGAP21
SLC35F2,1.05E-53,-0.298705748,0.307,0.398,1.86E-49,SLC35F2
IL1RAP,1.20E-53,0.487047904,0.436,0.378,2.13E-49,IL1RAP
PKP4,1.21E-53,0.423654426,0.516,0.47,2.14E-49,PKP4
ZCCHC7,1.36E-53,-0.327988576,0.321,0.41,2.42E-49,ZCCHC7
NOSTRIN,1.46E-53,0.73349776,0.192,0.135,2.59E-49,NOSTRIN
NCAPH,1.62E-53,-0.57429672,0.093,0.155,2.87E-49,NCAPH
PRKAA1,1.68E-53,0.389684026,0.526,0.479,2.98E-49,PRKAA1
CERCAM,1.72E-53,-0.317234299,0.515,0.602,3.05E-49,CERCAM
EXOSC6,2.00E-53,-0.45613183,0.286,0.368,3.55E-49,EXOSC6
APLNR,2.00E-53,-0.703464657,0.069,0.124,3.56E-49,APLNR
HIST1H2BE,2.24E-53,-0.482279914,0.087,0.148,3.98E-49,HIST1H2BE
FKBP3,2.24E-53,-0.239297946,0.618,0.703,3.99E-49,FKBP3
LMO3,2.25E-53,0.855423702,0.095,0.054,3.99E-49,LMO3
SMOX,2.42E-53,-0.49539462,0.308,0.392,4.30E-49,SMOX
PCNT,2.65E-53,-0.400519445,0.225,0.305,4.70E-49,PCNT
NPTN,2.86E-53,-0.22184092,0.717,0.79,5.09E-49,NPTN
APLN,2.95E-53,1.617146867,0.043,0.018,5.24E-49,APLN
UBQLN1,3.06E-53,0.367209935,0.577,0.539,5.43E-49,UBQLN1
ERAL1,3.17E-53,-0.36490087,0.254,0.34,5.64E-49,ERAL1
COA3,3.22E-53,-0.333042574,0.497,0.584,5.73E-49,COA3
SLC27A1,3.70E-53,0.54299411,0.354,0.293,6.58E-49,SLC27A1
TRAJ23,4.29E-53,-0.824768525,0.067,0.12,7.62E-49,TRAJ23
PAX5,4.41E-53,-3.281140977,0.003,0.029,7.83E-49,PAX5
RARB,4.64E-53,0.964782796,0.105,0.062,8.25E-49,RARB
SMAP1,4.66E-53,-0.3401532,0.261,0.347,8.28E-49,SMAP1
SEMA3C,5.06E-53,-0.34888356,0.426,0.507,8.99E-49,SEMA3C
BECN1,5.24E-53,-0.206702155,0.579,0.666,9.31E-49,BECN1
NBEA,5.53E-53,1.171403142,0.094,0.054,9.82E-49,NBEA
VPS37B,5.88E-53,-0.261182739,0.558,0.641,1.04E-48,VPS37B
ZC3H12D,6.50E-53,-1.095635805,0.045,0.091,1.15E-48,ZC3H12D
TENM2,6.56E-53,-1.802755718,0.016,0.05,1.17E-48,TENM2
FDCSP,7.01E-53,-4.670574469,0.003,0.028,1.24E-48,FDCSP
DLGAP4,7.44E-53,-0.256231661,0.596,0.674,1.32E-48,DLGAP4
PAGR1,9.22E-53,0.536926496,0.302,0.239,1.64E-48,PAGR1
CCDC80,9.43E-53,0.505216579,0.388,0.328,1.67E-48,CCDC80
CDC123,1.01E-52,-0.328547272,0.52,0.603,1.79E-48,CDC123
FAM167A,1.01E-52,1.362960773,0.08,0.044,1.79E-48,FAM167A
PUM3,1.03E-52,-0.344467194,0.252,0.336,1.83E-48,PUM3
SCMH1,1.08E-52,0.699473244,0.242,0.183,1.91E-48,SCMH1
SEPHS2,1.09E-52,-0.339225115,0.486,0.566,1.94E-48,SEPHS2
HIST1H4E,1.21E-52,-0.438827096,0.414,0.492,2.14E-48,HIST1H4E
TIMM50,1.26E-52,-0.422217709,0.351,0.431,2.23E-48,TIMM50
FHIT,1.30E-52,0.940895522,0.153,0.103,2.31E-48,FHIT
A4GALT,1.32E-52,-0.433106927,0.276,0.358,2.35E-48,A4GALT
REEP5,1.33E-52,-0.223177772,0.719,0.797,2.37E-48,REEP5
LRRC61,1.62E-52,-0.447457478,0.172,0.247,2.88E-48,LRRC61
C8orf33,1.68E-52,0.551243101,0.434,0.384,2.99E-48,C8orf33
HIST1H2BD,1.74E-52,0.42781339,0.663,0.638,3.10E-48,HIST1H2BD
SLC15A2,1.94E-52,1.362553506,0.049,0.022,3.44E-48,SLC15A2
SYNE4,2.15E-52,0.989619992,0.149,0.1,3.81E-48,SYNE4
ERICH1,2.19E-52,-0.412314422,0.23,0.309,3.89E-48,ERICH1
CPE,2.25E-52,0.391390608,0.443,0.387,4.00E-48,CPE
CNTN3,2.59E-52,1.955764553,0.033,0.012,4.60E-48,CNTN3
TAS2R50,2.78E-52,1.274665698,0.092,0.053,4.94E-48,TAS2R50
BMS1,3.49E-52,-0.280460818,0.403,0.496,6.19E-48,BMS1
